96387, 23.50, 1004.50
96923, 23.50, 1004.53
97459, 23.50, 1004.48
97995, 23.50, 1004.50
98531, 23.50, 1004.52
99067, 23.50, 1004.55
99603, 23.50, 1004.49
100140, 23.50, 1004.51
100675, 23.50, 1004.49
101212, 23.50, 1004.53
101747, 23.50, 1004.57
102284, 23.50, 1004.47
102819, 23.50, 1004.48
103356, 23.50, 1004.50
103891, 23.50, 1004.39
104428, 23.50, 1004.33
104964, 23.50, 1004.23
105499, 23.50, 1004.09
106036, 23.50, 1003.75
106571, 23.50, 1003.60
107108, 23.50, 1003.25
107643, 23.50, 1002.98
108180, 23.50, 1002.71
108716, 23.50, 1002.47
109252, 23.50, 1002.15
109788, 23.50, 1001.79
110324, 23.50, 1001.67
110860, 23.50, 1001.32
111396, 23.50, 1001.13
111932, 23.50, 1000.84
112468, 23.50, 1000.51
113004, 23.50, 1000.36
113541, 23.50, 1000.08
114076, 23.50, 999.83
114613, 23.50, 999.59
115148, 23.50, 999.30
115685, 23.50, 999.05
116220, 23.50, 998.80
116757, 23.50, 998.61
117293, 23.50, 998.31
117829, 23.50, 998.03
118365, 23.50, 997.82
118900, 23.50, 997.52
119437, 23.50, 997.32
119973, 23.50, 997.09
120509, 23.50, 996.76
121046, 23.50, 996.59
121581, 23.50, 996.34
122118, 23.50, 996.15
122653, 23.50, 995.88
123189, 23.50, 995.66
123725, 23.50, 995.41
124261, 23.50, 995.10
124797, 23.50, 994.83
125333, 23.50, 994.63
125870, 23.50, 994.40
126405, 23.50, 994.12
126942, 23.50, 993.86
127477, 23.50, 993.58
128013, 23.50, 993.36
128549, 23.50, 993.13
129085, 23.50, 992.87
129622, 23.50, 992.59
130157, 23.50, 992.36
130694, 23.50, 992.06
131229, 23.50, 991.40
131766, 23.50, 991.48
132301, 23.50, 991.95
132838, 23.50, 992.29
133373, 23.50, 992.74
133909, 23.50, 993.28
134446, 23.50, 993.75
134981, 23.50, 994.48
135518, 23.50, 995.06
136053, 23.50, 995.76
136590, 23.50, 996.46
137126, 23.50, 997.13
137662, 23.50, 997.60
138199, 23.50, 998.35
138734, 23.50, 998.73
139271, 23.50, 999.56
139806, 23.50, 1000.22
140343, 23.50, 1000.97
140878, 23.50, 1001.73
141415, 23.00, 1002.18
141950, 23.00, 1002.89
142487, 23.50, 1003.48
143023, 23.00, 1004.53
143559, 23.00, 1004.15
144095, 23.00, 1004.58
144631, 23.00, 1004.62
145167, 23.00, 1004.62
145703, 23.50, 1004.59
146239, 23.50, 1004.59
146776, 23.50, 1004.55
147311, 23.50, 1004.62
147847, 23.50, 1004.57
148383, 23.50, 1004.54
148919, 23.50, 1004.58
149455, 23.50, 1004.63
149991, 23.50, 1004.59
150528, 23.50, 1004.56
151063, 23.50, 1004.55
151600, 23.50, 1004.57
152136, 23.50, 1004.57
152672, 23.50, 1004.55
153208, 23.50, 1004.62
153744, 23.50, 1004.54
154280, 23.50, 1004.58
154816, 23.50, 1004.59
155352, 23.50, 1004.60
155888, 23.50, 1004.54
156425, 23.50, 1004.61
156960, 23.50, 1004.55
